#separator:tab
#html:true
#columns:Front	Back	Tags
body; physical	korpo<br>体<br>a <i>corp</i>se is a body	pikotika level5 root
hand; arm	manu<br>手<br>work a <i>manu</i>al transmission with your hand	pikotika level5 root
stomach; belly	venter<br>胃<br>food <i>enter</i>s the <i>venter</i>	pikotika level5 root
life; alive	viva<br>生<br><i>viva</i> la vida!	pikotika level5 root
ear	otiparte<br>耳分<br>hear-part	pikotika level5 compound
lend a hand; help out	manutonar<br>手与<br>hand-give	pikotika level5 compound
sport; athletics	korpoyu<br>体玩<br>body-play	pikotika level5 compound
Where do you live?	Tu ri viva in kerroko?<br>尔 ⊢ 生 内 何所?<br>you RI life in what-place?	pikotika level5 sentence
Alice: Cash — here's 10 dollars.	Aras: Manumoni. Tis ri 10 moni.<br>Aras: 手贝. 此 ⊢ 10 贝.<br>Alice: hand-money. this RI 10 money.	pikotika level5 sentence
No, I live about two hours north. I came just for the party.	Non. Eko ri viva in pits ora turan ver sur. Eko ri veni son por yumen.<br>不. 己 ⊢ 生 内 2 刻 間 向 上. 己 ⊢ 来 只 為 玩众.<br>not. I RI life in two hour interval to up. I RI come only for play-group.	pikotika level5 sentence
tired; weary	kansa<br>疲<br>too tired — I <i>can'</i>t	pikotika level5 root
anger; angry	raye<br>怒<br>a <i>rag</i>ing <i>ray</i> of fury	pikotika level5 root
surprise; unexpected	sorpe<br>奇<br><i>sorp</i>rise!	pikotika level5 root
calm	nonraye<br>不怒<br>not-anger	pikotika level5 compound
expect; anticipate	nonsorpe<br>不奇<br>not-surprise	pikotika level5 compound
annoyance	pikoraye<br>小怒<br>small-anger	pikotika level5 compound
smile	kontenpuka<br>楽口<br>happy-mouth	pikotika level5 compound
laugh	mekakontenpuka<br>大楽口<br>big-happy-mouth	pikotika level5 compound
kind (good-hearted); good-hearted; kindness	ponasenti<br>好心<br>good-feel	pikotika level5 compound
pride	ekoponasenti<br>己好心<br>me-good-feel	pikotika level5 compound
shame	ekomarumsenti<br>己悪心<br>me-bad-feel	pikotika level5 compound
I'm a little tired.	Eko ri piko kansa.<br>己 ⊢ 小 疲.<br>I RI slight tired.	pikotika level5 sentence
I am tired. I need to go to bed!	Eko ri kansa. Eko ri neses tormi!<br>己 ⊢ 疲. 己 ⊢ 要 床!<br>I RI tired. I RI must sleep!	pikotika level5 sentence
If you're tired, we can go back.	Pos tu ri kansa, tisrason ekomen ri kan retsire.<br>可 尔 ⊢ 疲, 此故 己众 ⊢ 能 反行.<br>if you RI tired, this-reason I-group RI can back-go.	pikotika level5 sentence
or; otherwise	sive<br>或<br>this OR that — <i>sieve</i> one out	pikotika level5 root
other; different	ar<br>別<br>arr, it's anoth<i>arr</i> pirate	pikotika level5 root
agree; deal	akor<br>約<br>in <i>accor</i>d — deal!	pikotika level5 root
something else; anything else	arkosa<br>別物<br>other-thing	pikotika level5 compound
someone else; another person; others	aromo<br>別人<br>other-person	pikotika level5 compound
somewhere else; elsewhere	arroko<br>別所<br>other-place	pikotika level5 compound
anyway; by the way; incidentally	artopi<br>別件<br>other-about	pikotika level5 compound
Nothing has changed.	Nemkosa ri artiven vin.<br>无物 ⊢ 別成 閉.<br>no-thing RI other-become finish.	pikotika level5 sentence
